,질문번호,질문,답변1,답변2,답변3
0,q1,1. 귀하는 수원시의 시책이나 시정 운영에 대해 어느 정도 알고 계십니까?,5.0 (560),4.0 (471),6.0 (336)
1,q10,10. 올해 여름 휴가를 가지 못했거나 계획이 없는 이유는 무엇입니까?,1.0 (325),3.0 (158),9.0 (86)
2,q10_op,10. (기타 오픈응답),아이 방학이 짧고 애매함 (1),별로 안좋아항 (1),더워서 (1)
3,q11_1,"11. 귀하는 수원에서 ‘도심 속 휴가’를 즐긴다면 무엇을 하고 싶습니까? 우선순위에 따라 2순위까지 응답해 주십시오
(1순위)",1.0 (434),2.0 (337),4.0 (303)
4,q11_2,"11. 귀하는 수원에서 ‘도심 속 휴가’를 즐긴다면 무엇을 하고 싶습니까? 우선순위에 따라 2순위까지 응답해 주십시오.
(2순위)",3.0 (300),2.0 (261),8.0 (230)
5,q12,"12. 올해 추석 경기는 지난해 추석에 비해 좋아질 것으로 예상하십니까, 나빠질 것으로 예상하십니까, 혹은 비슷할 것으로 예상하십니까?",3.0 (558),4.0 (523),5.0 (325)
6,q13,"13. 올해 추석 지출이 지난해 추석에 비해 늘어날 것이라고 보십니까, 줄어들 것이라고 보십니까, 혹은 비슷할 것으로 보십니까? ",2.0 (844),1.0 (645),3.0 (290)
7,q13_1,13-1. 추석 지출이 늘어난다면(혹은 줄어든다면) 구체적으로 늘어난(줄어든) 금액은 어느 정도로 보십니까?,2.0 (348),3.0 (271),4.0 (131)
8,q13_2,13-2. 귀댁의 올해 추석 지출액은 얼마로 예상하십니까? ,50.0 (236),30.0 (157),100.0 (114)
9,q14,14. 귀댁에서는 추석 준비 시 어떤 비용이 가장 부담이 되십니까?,3.0 (808),2.0 (549),1.0 (334)
10,q14_op,14. (기타 오픈응답),없음 (2),여행비용 (1),온가족여행비 (1)
11,q15,15. 귀댁에서는 추석 상차림 재료를 주로 어디에서 구입하십니까? 구입 금액이 가장 큰 순으로 하나만 선택해 주십시오.,2.0 (983),1.0 (347),5.0 (175)
12,q15_op,15. (기타 오픈응답),안함 (4),직접 장을 보지 않음 (1),추석 제사 없음 (1)
13,q16,16. 귀댁에서는 올해 추석에 어떤 계획을 가지고 계십니까? ,1.0 (972),2.0 (463),5.0 (148)
14,q16_op,16. (기타 오픈응답),근무 (2),외식 (1),계획 없음 (1)
15,q17,17. 수원시에서 추석 민생안정을 위해 가장 역점을 두어야 할 과제는 무엇이라고 생각하십니까?,1.0 (1040),2.0 (332),3.0 (228)
16,q17_op,17. (기타 오픈응답),서비스업의 추석가족방문을 위한 쇼핑몰 대형마트등 전체 휴점 하루보장 (1),,
17,q18,18. 귀하는 수원시민의 경제활동과 일상생활의 개선을 위해 민생규제 혁신이 필요하다고 생각하십니까?,1.0 (721),2.0 (690),3.0 (302)
18,q19,19. 귀하는 민생규제 혁신이 내 삶에 얼마나 도움이 될 것이라고 생각하십니까?,2.0 (744),1.0 (574),3.0 (365)
