,질문번호,질문,답변1,답변2,답변3,답변항목 설명
0,q1,1. 귀하는 수원시의 시책이나 시정 운영에 대해 어느 정도 알고 계십니까?,"5.0 (560명, 31.4%)","4.0 (471명, 26.4%)","6.0 (336명, 18.8%)","① 전혀 모르고 있다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 잘 알고 있다"
1,q10,10. 올해 여름 휴가를 가지 못했거나 계획이 없는 이유는 무엇입니까?,"1.0 (325명, 40.8%)","3.0 (158명, 19.8%)","9.0 (86명, 10.8%)","① 비용 부담 때문에
② 휴가 사용 후 밀려있을 업무가 부담돼서
③ 여유 시간이 부족해서
④ 휴가를 사용하려니 눈치가 보여서
⑤ 건강상의 이유 때문에
⑥ 유급 연차 휴가가 없거나 부족해서
⑦ 돌봐야 할 가족이 있어서
⑧ 휴가를 같이 보낼 사람이 없어서
⑨ 성수기 지나고 가려고
⑩ 기타(             )"
2,q10_op,10. (기타 오픈응답),"아이 (1명, 12.5%)","별로 (1명, 12.5%)","더워서 (1명, 12.5%)",
3,q11_1,"11. 귀하는 수원에서 ‘도심 속 휴가’를 즐긴다면 무엇을 하고 싶습니까? 우선순위에 따라 2순위까지 응답해 주십시오
(1순위)","1.0 (434명, 24.4%)","2.0 (337명, 18.9%)","4.0 (303명, 17.0%)","① 수원 화성 및 화성행궁 방문
② 지역 축제 참여(수원화성문화제, 수원재즈페스티벌 등)
③ 공원(만석공원, 서호공원 등) 및 수목원 방문(일월수목원, 영흥수목원)
④ 호캉스, 에캉스 등 숙소에서 휴식
⑤ 아웃도어 활동(걷기, 등산 등)			
⑥ 미술관/박물관, 공연예술/ 공연 관람
⑦ 드라마․영화 촬영지 방문
⑧ 맛집탐방
⑨ 몰캉스(쇼핑몰+바캉스)
⑩ 스포츠 경기 관람
⑪ 캠핑, 차박
⑫ 기타(             ) "
4,q11_2,"11. 귀하는 수원에서 ‘도심 속 휴가’를 즐긴다면 무엇을 하고 싶습니까? 우선순위에 따라 2순위까지 응답해 주십시오.
(2순위)","3.0 (300명, 16.8%)","2.0 (261명, 14.7%)","8.0 (230명, 12.9%)","① 수원 화성 및 화성행궁 방문
② 지역 축제 참여(수원화성문화제, 수원재즈페스티벌 등)
③ 공원(만석공원, 서호공원 등) 및 수목원 방문(일월수목원, 영흥수목원)
④ 호캉스, 에캉스 등 숙소에서 휴식
⑤ 아웃도어 활동(걷기, 등산 등)			
⑥ 미술관/박물관, 공연예술/ 공연 관람
⑦ 드라마․영화 촬영지 방문
⑧ 맛집탐방
⑨ 몰캉스(쇼핑몰+바캉스)
⑩ 스포츠 경기 관람
⑪ 캠핑, 차박
⑫ 기타(             ) "
5,q12,"12. 올해 추석 경기는 지난해 추석에 비해 좋아질 것으로 예상하십니까, 나빠질 것으로 예상하십니까, 혹은 비슷할 것으로 예상하십니까?","3.0 (558명, 31.3%)","4.0 (523명, 29.4%)","5.0 (325명, 18.3%)","① 많이 좋아질 것이다
② 조금 좋아질 것이다
③ 비슷할 것이다
④ 조금 나빠질 것이다
⑤ 많이 나빠질 것이다"
6,q13,"13. 올해 추석 지출이 지난해 추석에 비해 늘어날 것이라고 보십니까, 줄어들 것이라고 보십니까, 혹은 비슷할 것으로 보십니까? ","2.0 (844명, 47.4%)","1.0 (645명, 36.3%)","3.0 (290명, 16.3%)","① 늘어날 것이다
② 비슷할 것이다
③ 줄어들 것이다"
7,q13_1,13-1. 추석 지출이 늘어난다면(혹은 줄어든다면) 구체적으로 늘어난(줄어든) 금액은 어느 정도로 보십니까?,"2.0 (348명, 37.2%)","3.0 (271명, 29.0%)","4.0 (131명, 14.0%)","① 10만원 미만
② 10-20만원
③ 20-30만원
④ 30-40만원
⑤ 40-50만원
⑥ 50만원 이상 "
8,q13_2,13-2. 귀댁의 올해 추석 지출액은 얼마로 예상하십니까? ,"50.0 (236명, 25.3%)","30.0 (157명, 16.8%)","100.0 (114명, 12.2%)",만원
9,q14,14. 귀댁에서는 추석 준비 시 어떤 비용이 가장 부담이 되십니까?,"3.0 (808명, 45.4%)","2.0 (549명, 30.9%)","1.0 (334명, 18.8%)","① 제사 상차림비
② 명절 선물비
③ 가족 및 친․인척 용돈
④ 귀성․귀경 교통비
⑤ 기타 (                       )"
10,q14_op,14. (기타 오픈응답),"없음 (2명, 22.2%)","여행비용 (1명, 11.1%)","온가족여행비 (1명, 11.1%)",
11,q15,15. 귀댁에서는 추석 상차림 재료를 주로 어디에서 구입하십니까? 구입 금액이 가장 큰 순으로 하나만 선택해 주십시오.,"2.0 (983명, 55.3%)","1.0 (347명, 19.5%)","5.0 (175명, 9.8%)","① 전통시장
② 대형마트
③ 슈퍼마켓
④ 농협․축협․수협
⑤ 온라인 쇼핑몰
⑥ 산지직거래
⑦ 백화점
⑧ 기타 (                       )"
12,q15_op,15. (기타 오픈응답),"안함 (4명, 36.4%)","직접 (1명, 9.1%)","추석 (1명, 9.1%)",
13,q16,16. 귀댁에서는 올해 추석에 어떤 계획을 가지고 계십니까? ,"1.0 (972명, 54.6%)","2.0 (463명, 26.0%)","5.0 (148명, 8.3%)","① 고향(가족, 친지) 방문 
② 집에서 방문객(가족, 친지 등) 응대
③ 해외여행
④ 국내여행
⑤ 휴식
⑥ 기타 (                       )"
14,q16_op,16. (기타 오픈응답),"근무 (2명, 40.0%)","외식 (1명, 20.0%)","계획 (1명, 20.0%)",
15,q17,17. 수원시에서 추석 민생안정을 위해 가장 역점을 두어야 할 과제는 무엇이라고 생각하십니까?,"1.0 (1040명, 58.5%)","2.0 (332명, 18.7%)","3.0 (228명, 12.8%)","① 추석 성수품 물가 안정
② 소비심리 회복
③ 교통 및 물류 대책 마련
④ 취약 소외 계층 배려
⑤ 먹거리 안전 강화(원산지 점검 등)
⑥ 기타 (                       ) "
16,q17_op,17. (기타 오픈응답),"서비스업의 (1명, 100.0%)",,,
17,q18,18. 귀하는 수원시민의 경제활동과 일상생활의 개선을 위해 민생규제 혁신이 필요하다고 생각하십니까?,"1.0 (721명, 40.5%)","2.0 (690명, 38.8%)","3.0 (302명, 17.0%)","① 매우 필요하다
② 조금 필요하다
③ 보통이다
④ 별로 필요하지 않다
⑤ 매우 필요하지 않다"
18,q19,19. 귀하는 민생규제 혁신이 내 삶에 얼마나 도움이 될 것이라고 생각하십니까?,"2.0 (744명, 41.8%)","1.0 (574명, 32.3%)","3.0 (365명, 20.5%)","① 매우 도움이 된다
② 약간 도움이 된다
③ 보통이다
④ 별로 도움이 되지 않는다
⑤ 전혀 도움이 되지 않는다"
19,q2,2. 귀하는 수원시의 시책이나 시정 운영에 대해 평소 관심이 있으십니까?,"5.0 (613명, 34.4%)","4.0 (416명, 23.3%)","6.0 (404명, 22.7%)","① 전혀 관심이 없다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 관심 있다"
20,q20,20. 귀하는 수원시민의 삶에 가장 중요한 영향을 미칠 것으로 생각하는 민생규제혁신 분야는 무엇이라고 생각하십니까?,"3.0 (522명, 29.3%)","5.0 (412명, 23.2%)","2.0 (294명, 16.5%)","① 도시·건축 분야	
② 녹지·환경 분야
③ 경제·세무 분야
④ 일반행정 분야
⑤ 사회복지 분야
⑥ 안전·교통 분야"
21,q21_op,"21. 귀하는 수원시의 어떠한 민생 규제가 해소되었으면 좋겠다고 생각하십니까?
(오픈 응답)",". (12명, 4.1%)","없음 (9명, 3.1%)","교통 (6명, 2.0%)",
22,q3,3. 귀하는 수원시가 시민들을 위해 추진하고 있는 정책 전반에 대해 얼마나 만족하십니까? ,"5.0 (600명, 33.7%)","4.0 (523명, 29.3%)","6.0 (348명, 19.5%)","① 전혀 만족하지 못한다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 만족한다"
23,q3_1_1,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(1순위)","2.0 (382명, 38.0%)","1.0 (254명, 25.2%)","3.0 (146명, 14.5%)","① 새롭고 과감한 시도, 참신한 정책·사업들이 많아서
② 시민과의 소통, 홍보를 잘 하는 것 같아서
③ 수원특례시 현안에 대한 이해가 깊은 것 같아서
④ 추진력 있고 강단 있게 일하는 것 같아서
⑤ 정부, 경기도, 타지자체와의 협력을 잘하는 것 같아서
⑥ 평소 태도나 행동 등에서 신뢰감이 느껴져서
⑦ 무언가 계획을 갖고 일하는 느낌이어서
⑧ 열심히 일하는 것 같아서
⑨ 잘 모르겠다"
24,q3_1_2,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(2순위)","4.0 (186명, 18.5%)","2.0 (179명, 17.8%)","3.0 (179명, 17.8%)","① 새롭고 과감한 시도, 참신한 정책·사업들이 많아서
② 시민과의 소통, 홍보를 잘 하는 것 같아서
③ 수원특례시 현안에 대한 이해가 깊은 것 같아서
④ 추진력 있고 강단 있게 일하는 것 같아서
⑤ 정부, 경기도, 타지자체와의 협력을 잘하는 것 같아서
⑥ 평소 태도나 행동 등에서 신뢰감이 느껴져서
⑦ 무언가 계획을 갖고 일하는 느낌이어서
⑧ 열심히 일하는 것 같아서
⑨ 잘 모르겠다"
