도메인,출처파일,질문번호,질문,1순위 답변,2순위 답변,3순위 답변,답변항목 설명
여가,24-3_SRI시민패널조사.csv,q10,10. 올해 여름 휴가를 가지 못했거나 계획이 없는 이유는 무엇입니까?,"1.0 (325명, 40.8%)","3.0 (158명, 19.8%)","9.0 (86명, 10.8%)","① 비용 부담 때문에
② 휴가 사용 후 밀려있을 업무가 부담돼서
③ 여유 시간이 부족해서
④ 휴가를 사용하려니 눈치가 보여서
⑤ 건강상의 이유 때문에
⑥ 유급 연차 휴가가 없거나 부족해서
⑦ 돌봐야 할 가족이 있어서
⑧ 휴가를 같이 보낼 사람이 없어서
⑨ 성수기 지나고 가려고
⑩ 기타(             )"
여가,24-3_SRI시민패널조사.csv,q11_1,"11. 귀하는 수원에서 ‘도심 속 휴가’를 즐긴다면 무엇을 하고 싶습니까? 우선순위에 따라 2순위까지 응답해 주십시오
(1순위)","1.0 (434명, 24.4%)","2.0 (337명, 18.9%)","4.0 (303명, 17.0%)","① 수원 화성 및 화성행궁 방문
② 지역 축제 참여(수원화성문화제, 수원재즈페스티벌 등)
③ 공원(만석공원, 서호공원 등) 및 수목원 방문(일월수목원, 영흥수목원)
④ 호캉스, 에캉스 등 숙소에서 휴식
⑤ 아웃도어 활동(걷기, 등산 등)			
⑥ 미술관/박물관, 공연예술/ 공연 관람
⑦ 드라마․영화 촬영지 방문
⑧ 맛집탐방
⑨ 몰캉스(쇼핑몰+바캉스)
⑩ 스포츠 경기 관람
⑪ 캠핑, 차박
⑫ 기타(             ) "
여가,24-3_SRI시민패널조사.csv,q11_2,"11. 귀하는 수원에서 ‘도심 속 휴가’를 즐긴다면 무엇을 하고 싶습니까? 우선순위에 따라 2순위까지 응답해 주십시오.
(2순위)","3.0 (300명, 16.8%)","2.0 (261명, 14.7%)","8.0 (230명, 12.9%)","① 수원 화성 및 화성행궁 방문
② 지역 축제 참여(수원화성문화제, 수원재즈페스티벌 등)
③ 공원(만석공원, 서호공원 등) 및 수목원 방문(일월수목원, 영흥수목원)
④ 호캉스, 에캉스 등 숙소에서 휴식
⑤ 아웃도어 활동(걷기, 등산 등)			
⑥ 미술관/박물관, 공연예술/ 공연 관람
⑦ 드라마․영화 촬영지 방문
⑧ 맛집탐방
⑨ 몰캉스(쇼핑몰+바캉스)
⑩ 스포츠 경기 관람
⑪ 캠핑, 차박
⑫ 기타(             ) "
정책 인지도·만족도(체감도),24-3_SRI시민패널조사.csv,q2,2. 귀하는 수원시의 시책이나 시정 운영에 대해 평소 관심이 있으십니까?,"5.0 (613명, 34.4%)","4.0 (416명, 23.3%)","6.0 (404명, 22.7%)","① 전혀 관심이 없다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 관심 있다"
정책 인지도·만족도(체감도),24-3_SRI시민패널조사.csv,q3_1_3,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(3순위)","4.0 (154명, 15.3%)","5.0 (150명, 14.9%)","7.0 (149명, 14.8%)","① 새롭고 과감한 시도, 참신한 정책·사업들이 많아서
② 시민과의 소통, 홍보를 잘 하는 것 같아서
③ 수원특례시 현안에 대한 이해가 깊은 것 같아서
④ 추진력 있고 강단 있게 일하는 것 같아서
⑤ 정부, 경기도, 타지자체와의 협력을 잘하는 것 같아서
⑥ 평소 태도나 행동 등에서 신뢰감이 느껴져서
⑦ 무언가 계획을 갖고 일하는 느낌이어서
⑧ 열심히 일하는 것 같아서
⑨ 잘 모르겠다"
경제,24-4_SRI시민패널조사.csv,q21,"21. 일반 물가는 1년전보다 더 오를 것 같습니까, 덜 오를 것 같습니까, 혹은 비슷하게 오를 것 같습니까?","2 (679.8명, 39.9%)","3 (456.9명, 26.8%)","1 (429.0명, 25.2%)","① 1년 전보다 많이 오를 것이다
② 1년 전보다 조금 오를 것이다
③ 비슷하게 오를 것이다
④ 1년 전보다 조금 덜 오를 것이다
⑤ 1년 전보다 많이 덜 오를 것이다"
경제,24-4_SRI시민패널조사.csv,q24_4,"24. 귀하께서는 다음의 경제 이슈가 올해 대비 내년에 얼마나 개선될 것이라 예상하십니까? 각 항목별로 예상되는 개선 정도를 말씀해 주시기 바랍니다. 
_4.자영업자 등 소상공인 문제","4 (779.7명, 45.8%)","3 (444.3명, 26.1%)","5 (289.5명, 17.0%)","① 매우 개선될 것이다
② 약간 개선될 것이다
③ 그대로일 것이다
④ 다소 악화될 것이다
⑤ 매우 악화될 것이다"
정책 인지도·만족도(체감도),24-4_SRI시민패널조사.csv,q17_7,"17. 귀하는 현재 ‘수원’이라는 도시를 어떻게 평가하십니까? 
_7. 문화예술이 풍부한 도시","4 (851.1명, 50.0%)","3 (449.7명, 26.4%)","5 (321.8명, 18.9%)","① 전혀 동의하지 않는다
② 동의하지 않는다
③ 보통이다
④ 동의한다
⑤ 매우 동의한다"
정책 인지도·만족도(체감도),24-4_SRI시민패널조사.csv,q18_1,"18. 귀하는 2030년 수원이 어떠한 모습의 도시가 되기를 기대하십니까? 
(1순위)","1 (488.2명, 28.7%)","3 (395.2명, 23.2%)","2 (219.1명, 12.9%)","① 경제도시 			
② 교육도시
③ 문화도시			
④ 복지(돌봄)도시
⑤ 건강도시			
⑥ 안전도시
⑦ 환경도시			
⑧ 스마트도시
⑨ 스포츠도시		
⑩ 첨단교통도시
⑪ 관광도시			
⑫ 기타 (            )"
정책 인지도·만족도(체감도),24-4_SRI시민패널조사.csv,q18_2,"18. 귀하는 2030년 수원이 어떠한 모습의 도시가 되기를 기대하십니까? 
(2순위)","7 (257.9명, 15.1%)","6 (223.6명, 13.1%)","3 (220.3명, 12.9%)","① 경제도시 			
② 교육도시
③ 문화도시			
④ 복지(돌봄)도시
⑤ 건강도시			
⑥ 안전도시
⑦ 환경도시			
⑧ 스마트도시
⑨ 스포츠도시		
⑩ 첨단교통도시
⑪ 관광도시			
⑫ 기타 (            )"
정책 인지도·만족도(체감도),2023년 수원서베이.csv,ADD1,정책 관심도,"보통 (1161명, 56.9%)","관심 많음 (551명, 27.0%)","관심 없음 (329명, 16.1%)","관심 없음
보통
관심 많음"
정책 인지도·만족도(체감도),2023년 수원서베이.csv,ADD3,수원시정 만족도,"만족 (1572명, 77.0%)","보통 (424명, 20.8%)","불만족 (45명, 2.2%)","불만족
보통
만족"
여가,2023년 수원서베이.csv,Q10a8,문10. 복지서비스 제공 - 8. 문화 및 여가 지원,"⑤ (732명, 41.4%)","④보통 (629명, 35.5%)","⑥ (409명, 23.1%)","①매우 부족하다
②
③
④보통
⑤
⑥
⑦매우 충분하다
부족
보통
충분
모름/무응답"
여가,2023년 수원서베이.csv,Q30,문30. 외부 여가활동 이용 빈도,"한 달에 2~3번 (872명, 49.1%)","일주일에 몇 번, 매일은 아님 (523명, 29.5%)","한달에 1번 (380명, 21.4%)","매일
일주일에 몇 번, 매일은 아님
한 달에 2~3번
한달에 1번
몇 달에 1번
기타"
여가,2023년 수원서베이.csv,Q31m1,문31. 2023년 방문한 여가공간(중복 응답),"10. 영화관 (490명, 52.8%)","24. 목욕시설(목욕탕, 찜질방, 사우나, 온천 등) (293명, 31.6%)","09. 공연장 (145명, 15.6%)","01. 문예회관
02. 지방문화원
03. 문화의집
04. 생활문화센터
05. 사설문화센터
06. 미술관
07. 박물관·전시관
08. 기념관
09. 공연장
10. 영화관
11. 도서관·대형서점
12. 행정복지센터
13. 여성회관
14. 사회복지관
15. 노인복지관
16. 평생학습관
17. 학교시설
18. 학원(어학，기술，자격증 취득 등)
19. 노래방
20. PC방(복합멀티게임방)
21. 만화방
22. 오락장(아케이드게임방, 보드게임방 등)
23. 클럽(댄스포함)
24. 목욕시설(목욕탕, 찜질방, 사우나, 온천 등)
25. 미용관리실(피부관리, 네일아트, 마사지, 헤어숍 등)
26. 수족관(아쿠아리움)
27. 쇼핑몰(백화점 등)
28. 카페(커피숍, 방탈출, VR카페, 이색테마카페 등)
29. 대형마트
30. 식당(패밀리레스토랑, 주점 등)
31. 국민체육센터(주민체육센터 등)
32. 청소년수련관
33. 복합체육관
34. 헬스클럽
35. 골프연습장(스크린골프장)
36. 수영장
37. 당구장, 탁구장, 볼링장
38. 빙상경기장(아이스링크)
39. 기타 실내 체육시설
40. 종교시설(교회, 절, 성당 등)
41. 위에서 분류되지 않은 기타 실내시설
42. 운동경기장（축구, 농구，야구 등）
43. 학교운동장
44. 골프장
45. 기타 실외 체육시설
46. 생활권공원(근린공원，소공원，어린이공원 등)
47. 주제공원(역사공원, 수변공원, 체육공원 등)
48. 산림욕장
49. 식물원
50. 캠핑장
51. 산(자연공원 포함)
52. 차 없는 거리(나혜석 거리, 수원역 로데오거리)
53. 수원화성(행궁, 행리단길, 화성성곽)
54. 근대거리(향교로, 구 경기도청 일원)
55. 구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
56. 재래시장
57. 아파트 내(집주변) 공터
58. 위에서 분류되지 않은 기타 실외공간"
