도메인,질문번호,질문,1순위 답변,2순위 답변,3순위 답변,답변항목 설명
도시 이미지·정체성,DM12,가구대표자 직업,"사무 종사자 (877명, 44.0%)","무직 (565명, 28.3%)","서비스 종사자 (551명, 27.6%)","관리자
전문가 및 관련 종사자
사무 종사자
서비스 종사자
판매 종사자
농림·어업 숙련 종사자
기능원 및 관련 기능 종사자
장치·기계 조작 및 조립 종사자
단순노무 종사자
군인
기타
무직"
경제,DM121,가구대표자 고용형태,"상용직 임금근로자 (1726명, 66.7%)","무직 (565명, 21.8%)","고용원이 없는 자영업자 (298명, 11.5%)","상용직 임금근로자
임시직 임금근로자
일용직 임금근로자
특수고용 종사자
고용원이 있는 고용주
고용원이 없는 자영업자
무급가족종사자
무직"
도시 이미지·정체성,DM122,가구대표자 사업체 유형,"중소기업 (1231명, 56.4%)","무직 (565명, 25.9%)","중견기업 (387명, 17.7%)","대기업
공사 등 공기업
정부, 지방자치단체 기관
중견기업
중소기업
외국계기업
시민단체, 사회적기업, 협동조합 등
기타
무직"
경제,DM13,월평균 가구소득,"300만원 이상 ~ 400만원 미만 (662명, 41.3%)","400만원 이상 ~ 500만원 미만 (474명, 29.6%)","200만원 이상 ~ 300만원 미만 (468명, 29.2%)","소득 없음
100만원 미만
100만원 이상 ~ 200만원 미만
200만원 이상 ~ 300만원 미만
300만원 이상 ~ 400만원 미만
400만원 이상 ~ 500만원 미만
500만원 이상 ~ 600만원 미만
600만원 이상 ~ 700만원 미만
700만원 이상 ~ 800만원 미만
800만원 이상 ~ 900만원 미만
900만원 이상 ~ 1,000만원 미만
1,000만원 이상"
경제,DM14,경제사회적 위치,"⑤ 중간 (760명, 39.2%)","⑦ (615명, 31.7%)","⑥ (563명, 29.1%)","ⓞ 최하
①
②
③
④
⑤ 중간
⑥
⑦
⑧
⑨
⑩ 최상"
도시 이미지·정체성,DM33,수원시 생활권,"화성생활권 (633명, 37.5%)","영통생활권 (549명, 32.5%)","서수원생활권 (507명, 30.0%)","광교생활권
남수원생활권
북수원생활권
서수원생활권
영통생활권
화성생활권"
도시 이미지·정체성,DM4,가구대표자 학력,"대학(4년제) 졸업 (1397명, 49.4%)","고졸 (1018명, 36.0%)","전문대 졸업 (413명, 14.6%)","중졸 이하
고졸
전문대 졸업
대학(4년제) 졸업
대학원 졸업 이상"
도시 이미지·정체성,DM5,가구대표자 혼인상태,"기혼(배우자 있음, 사실혼 포함) (1666명, 59.2%)","미혼 (926명, 32.9%)","사별 (223명, 7.9%)","기혼(배우자 있음, 사실혼 포함)
미혼
이혼
별거
사별"
도시 이미지·정체성,DM7,수원 거주 기간,"10~20년 미만 (746명, 39.2%)","20~30년 미만 (670명, 35.2%)","30~40년 미만 (489명, 25.7%)","5년 미만
5~10년 미만
10~20년 미만
20~30년 미만
30~40년 미만
40~50년 미만
50년 이상"
도시 이미지·정체성,H0a5n1,(가구용) 문0. 가구원1 가구대표자(응답자)와의 관계,"본인 (2027명, 66.6%)","본인의 배우자 (729명, 24.0%)","본인 또는 배우자의 부모(장인/장모/시부모) (287명, 9.4%)","본인
본인의 배우자
미혼 자녀
기혼자녀 및 그 배우자
손자녀 및 그 배우자
본인 또는 배우자의 부모(장인/장모/시부모)
본인 또는 배우자의 조부모
본인 또는 배우자의 형제, 자매
기타"
도시 이미지·정체성,H0a5n2,(가구용) 문0. 가구원2 가구대표자(응답자)와의 관계,"본인의 배우자 (915명, 47.4%)","본인 (793명, 41.1%)","본인 또는 배우자의 부모(장인/장모/시부모) (222명, 11.5%)","본인
본인의 배우자
미혼 자녀
기혼자녀 및 그 배우자
손자녀 및 그 배우자
본인 또는 배우자의 부모(장인/장모/시부모)
본인 또는 배우자의 조부모
본인 또는 배우자의 형제, 자매
기타"
도시 이미지·정체성,H0a5n3,(가구용) 문0. 가구원3 가구대표자(응답자)와의 관계,"미혼 자녀 (987명, 80.5%)","본인 (196명, 16.0%)","본인 또는 배우자의 형제, 자매 (43명, 3.5%)","본인
본인의 배우자
미혼 자녀
기혼자녀 및 그 배우자
손자녀 및 그 배우자
본인 또는 배우자의 부모(장인/장모/시부모)
본인 또는 배우자의 조부모
본인 또는 배우자의 형제, 자매
기타"
