도메인,질문번호,질문,1순위 답변,2순위 답변,3순위 답변,답변항목 설명
여가,Q20a1b1,(가구대표자용) 문20. 귀하는 지난 1년간 하루 평균 여가 시간이 어느 정도였습니까? 평일과 주말(휴일 포함) 구분하여 응답해 주십시오. - 1. 평일 시,"2 (812명, 38.9%)","3 (749명, 35.9%)","1 (528명, 25.3%)",
여가,Q20a1b2,(가구대표자용) 문20. 귀하는 지난 1년간 하루 평균 여가 시간이 어느 정도였습니까? 평일과 주말(휴일 포함) 구분하여 응답해 주십시오. - 1. 평일 분,"0 (2563명, 86.2%)","30 (331명, 11.1%)","20 (80명, 2.7%)",
여가,Q20a2b1,(가구대표자용) 문20. 귀하는 지난 1년간 하루 평균 여가 시간이 어느 정도였습니까? 평일과 주말(휴일 포함) 구분하여 응답해 주십시오. - 2. 주말(휴일 포함) 시,"5 (597명, 42.5%)","8 (414명, 29.5%)","6 (393명, 28.0%)",
여가,Q20a2b2,(가구대표자용) 문20. 귀하는 지난 1년간 하루 평균 여가 시간이 어느 정도였습니까? 평일과 주말(휴일 포함) 구분하여 응답해 주십시오. - 2. 주말(휴일 포함) 분,"0 (2708명, 91.1%)","30 (193명, 6.5%)","20 (73명, 2.5%)",
여가,Q21a1,(가구대표자용) 문21. 귀하는 평소 여가 시간이 충분하다고 생각하십니까? 평일과 주말(휴일 포함) 구분하여 응답해 주십시오. - 1. 평일,"④ 보통 (890명, 39.9%)","⑤ (843명, 37.8%)","⑥ (495명, 22.2%)","① 매우 부족하다
②
③
④ 보통
⑤
⑥
⑦ 매우 충분하다"
여가,Q21a2,(가구대표자용) 문21. 귀하는 평소 여가 시간이 충분하다고 생각하십니까? 평일과 주말(휴일 포함) 구분하여 응답해 주십시오. - 2. 주말(휴일 포함),"⑤ (1214명, 48.0%)","④ 보통 (682명, 27.0%)","⑥ (631명, 25.0%)","① 매우 부족하다
②
③
④ 보통
⑤
⑥
⑦ 매우 충분하다"
여가,Q22m1,(가구대표자용) 문22. 다음 여가활동 중 귀하가 지난 1년간 오프라인(시설/공간방문)으로 하신 활동을 모두 선택해 주십시오.(중복 응답),"활동 없음 (933명, 46.1%)","극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외) (665명, 32.8%)","미술관, 전시회 관람(미술, 사진, 건축, 디자인 등) (428명, 21.1%)","미술관, 전시회 관람(미술, 사진, 건축, 디자인 등)
박물관 관람(역사, 일상생활, 문화 등)
서양 고전 음악공연 관람(클래식, 오페라 등)
대중공연 관람(쇼, 콘서트, 마술쇼 등)
무용공연 관람(현대무용, 발레 등)
전통예술공연 관람(국악, 민속놀이 등)
연극공연 관람(뮤지컬 포함)
문화행사 관람(작가와의 만남 및 강연, 전시)
극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외)
야외문화행사(축제, 거리예술, 공공예술 등 관람)
활동 없음"
여가,Q22m10,(가구대표자용) 문22. 다음 여가활동 중 귀하가 지난 1년간 오프라인(시설/공간방문)으로 하신 활동을 모두 선택해 주십시오.(중복 응답),"야외문화행사(축제, 거리예술, 공공예술 등 관람) (1명, 100.0%)",,,"미술관, 전시회 관람(미술, 사진, 건축, 디자인 등)
박물관 관람(역사, 일상생활, 문화 등)
서양 고전 음악공연 관람(클래식, 오페라 등)
대중공연 관람(쇼, 콘서트, 마술쇼 등)
무용공연 관람(현대무용, 발레 등)
전통예술공연 관람(국악, 민속놀이 등)
연극공연 관람(뮤지컬 포함)
문화행사 관람(작가와의 만남 및 강연, 전시)
극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외)
야외문화행사(축제, 거리예술, 공공예술 등 관람)
활동 없음"
여가,Q22m2,(가구대표자용) 문22. 다음 여가활동 중 귀하가 지난 1년간 오프라인(시설/공간방문)으로 하신 활동을 모두 선택해 주십시오.(중복 응답),"극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외) (402명, 43.0%)","야외문화행사(축제, 거리예술, 공공예술 등 관람) (344명, 36.8%)","박물관 관람(역사, 일상생활, 문화 등) (189명, 20.2%)","미술관, 전시회 관람(미술, 사진, 건축, 디자인 등)
박물관 관람(역사, 일상생활, 문화 등)
서양 고전 음악공연 관람(클래식, 오페라 등)
대중공연 관람(쇼, 콘서트, 마술쇼 등)
무용공연 관람(현대무용, 발레 등)
전통예술공연 관람(국악, 민속놀이 등)
연극공연 관람(뮤지컬 포함)
문화행사 관람(작가와의 만남 및 강연, 전시)
극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외)
야외문화행사(축제, 거리예술, 공공예술 등 관람)
활동 없음"
여가,Q22m3,(가구대표자용) 문22. 다음 여가활동 중 귀하가 지난 1년간 오프라인(시설/공간방문)으로 하신 활동을 모두 선택해 주십시오.(중복 응답),"극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외) (212명, 44.3%)","야외문화행사(축제, 거리예술, 공공예술 등 관람) (201명, 42.0%)","연극공연 관람(뮤지컬 포함) (66명, 13.8%)","미술관, 전시회 관람(미술, 사진, 건축, 디자인 등)
박물관 관람(역사, 일상생활, 문화 등)
서양 고전 음악공연 관람(클래식, 오페라 등)
대중공연 관람(쇼, 콘서트, 마술쇼 등)
무용공연 관람(현대무용, 발레 등)
전통예술공연 관람(국악, 민속놀이 등)
연극공연 관람(뮤지컬 포함)
문화행사 관람(작가와의 만남 및 강연, 전시)
극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외)
야외문화행사(축제, 거리예술, 공공예술 등 관람)
활동 없음"
여가,Q22m4,(가구대표자용) 문22. 다음 여가활동 중 귀하가 지난 1년간 오프라인(시설/공간방문)으로 하신 활동을 모두 선택해 주십시오.(중복 응답),"야외문화행사(축제, 거리예술, 공공예술 등 관람) (101명, 51.0%)","극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외) (70명, 35.4%)","연극공연 관람(뮤지컬 포함) (27명, 13.6%)","미술관, 전시회 관람(미술, 사진, 건축, 디자인 등)
박물관 관람(역사, 일상생활, 문화 등)
서양 고전 음악공연 관람(클래식, 오페라 등)
대중공연 관람(쇼, 콘서트, 마술쇼 등)
무용공연 관람(현대무용, 발레 등)
전통예술공연 관람(국악, 민속놀이 등)
연극공연 관람(뮤지컬 포함)
문화행사 관람(작가와의 만남 및 강연, 전시)
극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외)
야외문화행사(축제, 거리예술, 공공예술 등 관람)
활동 없음"
여가,Q22m5,(가구대표자용) 문22. 다음 여가활동 중 귀하가 지난 1년간 오프라인(시설/공간방문)으로 하신 활동을 모두 선택해 주십시오.(중복 응답),"야외문화행사(축제, 거리예술, 공공예술 등 관람) (49명, 51.6%)","극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외) (38명, 40.0%)","연극공연 관람(뮤지컬 포함) (8명, 8.4%)","미술관, 전시회 관람(미술, 사진, 건축, 디자인 등)
박물관 관람(역사, 일상생활, 문화 등)
서양 고전 음악공연 관람(클래식, 오페라 등)
대중공연 관람(쇼, 콘서트, 마술쇼 등)
무용공연 관람(현대무용, 발레 등)
전통예술공연 관람(국악, 민속놀이 등)
연극공연 관람(뮤지컬 포함)
문화행사 관람(작가와의 만남 및 강연, 전시)
극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외)
야외문화행사(축제, 거리예술, 공공예술 등 관람)
활동 없음"
