도메인,질문번호,질문,1순위 답변,2순위 답변,3순위 답변,답변항목 설명
정책 인지도·만족도(체감도),q1,1. 귀하는 수원시의 시책이나 시정 운영에 대해 어느 정도 알고 계십니까?,"5.0 (560명, 31.4%)","4.0 (471명, 26.4%)","6.0 (336명, 18.8%)","① 전혀 모르고 있다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 잘 알고 있다"
여가,q10,10. 올해 여름 휴가를 가지 못했거나 계획이 없는 이유는 무엇입니까?,"1.0 (325명, 40.8%)","3.0 (158명, 19.8%)","9.0 (86명, 10.8%)","① 비용 부담 때문에
② 휴가 사용 후 밀려있을 업무가 부담돼서
③ 여유 시간이 부족해서
④ 휴가를 사용하려니 눈치가 보여서
⑤ 건강상의 이유 때문에
⑥ 유급 연차 휴가가 없거나 부족해서
⑦ 돌봐야 할 가족이 있어서
⑧ 휴가를 같이 보낼 사람이 없어서
⑨ 성수기 지나고 가려고
⑩ 기타(             )"
,q10_op,10. (기타 오픈응답),"아이 (1명, 12.5%)","별로 (1명, 12.5%)","더워서 (1명, 12.5%)",
여가,q11_1,"11. 귀하는 수원에서 ‘도심 속 휴가’를 즐긴다면 무엇을 하고 싶습니까? 우선순위에 따라 2순위까지 응답해 주십시오
(1순위)","1.0 (434명, 24.4%)","2.0 (337명, 18.9%)","4.0 (303명, 17.0%)","① 수원 화성 및 화성행궁 방문
② 지역 축제 참여(수원화성문화제, 수원재즈페스티벌 등)
③ 공원(만석공원, 서호공원 등) 및 수목원 방문(일월수목원, 영흥수목원)
④ 호캉스, 에캉스 등 숙소에서 휴식
⑤ 아웃도어 활동(걷기, 등산 등)			
⑥ 미술관/박물관, 공연예술/ 공연 관람
⑦ 드라마․영화 촬영지 방문
⑧ 맛집탐방
⑨ 몰캉스(쇼핑몰+바캉스)
⑩ 스포츠 경기 관람
⑪ 캠핑, 차박
⑫ 기타(             ) "
여가,q11_2,"11. 귀하는 수원에서 ‘도심 속 휴가’를 즐긴다면 무엇을 하고 싶습니까? 우선순위에 따라 2순위까지 응답해 주십시오.
(2순위)","3.0 (300명, 16.8%)","2.0 (261명, 14.7%)","8.0 (230명, 12.9%)","① 수원 화성 및 화성행궁 방문
② 지역 축제 참여(수원화성문화제, 수원재즈페스티벌 등)
③ 공원(만석공원, 서호공원 등) 및 수목원 방문(일월수목원, 영흥수목원)
④ 호캉스, 에캉스 등 숙소에서 휴식
⑤ 아웃도어 활동(걷기, 등산 등)			
⑥ 미술관/박물관, 공연예술/ 공연 관람
⑦ 드라마․영화 촬영지 방문
⑧ 맛집탐방
⑨ 몰캉스(쇼핑몰+바캉스)
⑩ 스포츠 경기 관람
⑪ 캠핑, 차박
⑫ 기타(             ) "
경제,q12,"12. 올해 추석 경기는 지난해 추석에 비해 좋아질 것으로 예상하십니까, 나빠질 것으로 예상하십니까, 혹은 비슷할 것으로 예상하십니까?","3.0 (558명, 31.3%)","4.0 (523명, 29.4%)","5.0 (325명, 18.3%)","① 많이 좋아질 것이다
② 조금 좋아질 것이다
③ 비슷할 것이다
④ 조금 나빠질 것이다
⑤ 많이 나빠질 것이다"
,q19,19. 귀하는 민생규제 혁신이 내 삶에 얼마나 도움이 될 것이라고 생각하십니까?,"2.0 (744명, 41.8%)","1.0 (574명, 32.3%)","3.0 (365명, 20.5%)","① 매우 도움이 된다
② 약간 도움이 된다
③ 보통이다
④ 별로 도움이 되지 않는다
⑤ 전혀 도움이 되지 않는다"
정책 인지도·만족도(체감도),q2,2. 귀하는 수원시의 시책이나 시정 운영에 대해 평소 관심이 있으십니까?,"5.0 (613명, 34.4%)","4.0 (416명, 23.3%)","6.0 (404명, 22.7%)","① 전혀 관심이 없다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 관심 있다"
도시 이미지·정체성,q20,20. 귀하는 수원시민의 삶에 가장 중요한 영향을 미칠 것으로 생각하는 민생규제혁신 분야는 무엇이라고 생각하십니까?,"3.0 (522명, 29.3%)","5.0 (412명, 23.2%)","2.0 (294명, 16.5%)","① 도시·건축 분야	
② 녹지·환경 분야
③ 경제·세무 분야
④ 일반행정 분야
⑤ 사회복지 분야
⑥ 안전·교통 분야"
도시 이미지·정체성,q21_op,"21. 귀하는 수원시의 어떠한 민생 규제가 해소되었으면 좋겠다고 생각하십니까?
(오픈 응답)",". (12명, 4.1%)","없음 (9명, 3.1%)","교통 (6명, 2.0%)",
